1,Cornie,72,cscotson0@t-online.de,$6\,998.49,80
2,Raddie,23,rsandaver1@wisc.edu,$3\,550.6,80
4,Lew,97,lnutton3@columbia.edu,$8\,582.73,80
5,Raviv,90,rsandal4@slate.com,$7\,385.56,80
6,Tilda,47,tveschambes5@amazon.com,$4\,890.57,80
7,Florentia,99,ffulop6@ebay.co.uk,$9\,2.87,80
10,Dominik,79,dwestcott9@ihg.com,$9\,166.88,80
1,Matthaeus,70,mmaplesden0@weather.com,$7\,94.45,80
2,Corny,72,cklaiser1@joomla.org,$8\,195.73,80
3,Johnna,79,jmuris2@lycos.com,$1\,540.04,80
4,Romonda,37,rdafforne3@npr.org,$3\,377.21,80
5,Cordy,43,cdenizet4@paypal.com,$8\,438.61,80
6,Sterne,69,stremlett5@1und1.de,$4\,956.9,80
7,Luther,45,lmaffeo6@trellian.com,$4\,276.17,80
8,Harmonie,59,hhuyhton7@csmonitor.com,$9\,74.82,80
9,Rodd,67,rpetric8@google.com.au,$8\,375.82,80
10,Alasteir,94,asherewood9@sfgate.com,$3\,171.04,80
11,Ryley,75,rdigle0@shop-pro.jp,$2\,227.64,80
12,Clare,23,cflaunders1@umn.edu,$8\,881.05,80
13,Rikki,90,rwalne2@addthis.com,$5\,421.53,80
14,Allard,45,aruslen3@tamu.edu,$8\,869.94,80
15,Marietta,89,mkitteringham4@guardian.co.uk,$2\,812.1,80
16,Rutter,20,rmorgan5@cbc.ca,$3\,362.89,80
17,Denna,78,dbrandin6@nydailynews.com,$5\,779.83,80
18,Amity,32,aduigan7@t.co,$5\,581.59,80
19,Cleavland,60,cmallabon8@deviantart.com,$8\,91.79,80
20,Brodie,79,bload9@yandex.ru,$9\,800.04,80
21,Kimsour,20,kimsour@gmail.com,$2\,0,80
22,KimHour,20,kimhour@gmail.com,$2\,0,80
